strategy,symbol,params,final_capital,total_return_pct,weekly_return_pct,n_trades,win_rate_pct,profit_factor,max_drawdown_pct,sharpe_annual,n_weeks
VolBreakoutMom,DOGEUSDC,"{'lookback': 18, 'k_threshold': 1.5, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.0}",19177.42,91.7742,0.7839,107,31.78,1.2867,27.9,0.9465,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 10, 'k_threshold': 1.0, 'tp_atr_mult': 2.5, 'sl_atr_mult': 0.8}",19133.04,91.3304,0.7801,146,28.77,1.2213,36.65,0.7498,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 10, 'k_threshold': 1.0, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.2}",19124.13,91.2413,0.7794,152,36.18,1.1555,38.25,0.814,117.1
VolBreakoutMom,ADAUSDC,"{'lookback': 18, 'k_threshold': 1.75, 'tp_atr_mult': 3.5, 'sl_atr_mult': 1.2}",19117.6,91.176,0.7788,73,36.99,1.3877,26.34,1.0498,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 12, 'k_threshold': 1.25, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.0}",19100.78,91.0078,0.7774,111,35.14,1.2666,37.65,0.8129,117.1
VolBreakoutMom,DOGEUSDC,"{'lookback': 12, 'k_threshold': 1.75, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.2}",19080.88,90.8088,0.7757,89,38.2,1.3223,20.86,0.9186,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 15, 'k_threshold': 1.5, 'tp_atr_mult': 3.0, 'sl_atr_mult': 1.0}",19061.4,90.614,0.774,107,32.71,1.3473,27.16,0.9762,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 15, 'k_threshold': 1.25, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.0}",19028.1,90.281,0.7712,108,35.19,1.2633,37.6,0.8105,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 10, 'k_threshold': 1.25, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.0}",19026.51,90.2651,0.771,117,35.04,1.2467,36.16,0.8015,117.1
VolBreakoutMom,XRPUSDC,"{'lookback': 15, 'k_threshold': 1.0, 'tp_atr_mult': 2.5, 'sl_atr_mult': 1.0}",19023.31,90.2331,0.7708,128,33.59,1.2201,37.59,0.7874,117.1
